2025-04-06 19:37:58 | APPLICATION | USER: user2 | IP: 10.0.0.5 | EVENT: SQL Injection attempt detected
2025-04-06 19:38:01 | APPLICATION | USER: user1 | IP: 203.0.113.45 | EVENT: User logged out
2025-04-06 19:38:05 | APPLICATION | USER: user2 | IP: 192.168.1.25 | EVENT: New user registered
2025-04-06 19:38:08 | APPLICATION | USER: user1 | IP: 203.0.113.45 | EVENT: Two-factor authentication enabled
2025-04-06 19:38:13 | APPLICATION | USER: user1 | IP: 172.16.0.100 | EVENT: App crashed due to memory leak
2025-04-06 19:38:18 | APPLICATION | USER: guest | IP: 192.168.1.10 | EVENT: Unauthorized API access attempt
2025-04-06 19:38:23 | APPLICATION | USER: guest | IP: 203.0.113.45 | EVENT: New user registered
2025-04-06 19:38:27 | APPLICATION | USER: admin | IP: 10.0.0.5 | EVENT: App crashed due to memory leak
2025-04-06 19:38:31 | APPLICATION | USER: user2 | IP: 203.0.113.45 | EVENT: Password changed
2025-04-06 19:38:35 | APPLICATION | USER: user1 | IP: 203.0.113.45 | EVENT: Password changed
2025-04-06 19:38:40 | APPLICATION | USER: admin | IP: 172.16.0.100 | EVENT: User logged out
2025-04-06 19:38:43 | APPLICATION | USER: guest | IP: 172.16.0.100 | EVENT: Session timeout
2025-04-06 19:38:46 | APPLICATION | USER: user2 | IP: 192.168.1.25 | EVENT: Data export initiated
2025-04-06 19:38:48 | APPLICATION | USER: user1 | IP: 192.168.1.25 | EVENT: Data export initiated
2025-04-06 19:38:53 | APPLICATION | USER: user1 | IP: 203.0.113.45 | EVENT: Database connection failed
2025-04-06 19:38:58 | APPLICATION | USER: guest | IP: 10.0.0.5 | EVENT: Database entry updated
2025-04-06 19:39:00 | APPLICATION | USER: admin | IP: 203.0.113.45 | EVENT: User logged in
2025-04-06 19:39:02 | APPLICATION | USER: admin | IP: 192.168.1.10 | EVENT: Application restarted
2025-04-06 19:39:07 | APPLICATION | USER: guest | IP: 10.0.0.5 | EVENT: User logged out
2025-04-06 19:39:10 | APPLICATION | USER: guest | IP: 172.16.0.100 | EVENT: Database connection failed
2025-04-06 19:39:15 | APPLICATION | USER: user2 | IP: 203.0.113.45 | EVENT: Database connection failed
2025-04-06 19:39:19 | APPLICATION | USER: admin | IP: 10.0.0.5 | EVENT: App crashed due to memory leak
2025-04-06 19:39:21 | APPLICATION | USER: user2 | IP: 192.168.1.10 | EVENT: Unauthorized API access attempt
2025-04-06 19:39:25 | APPLICATION | USER: user1 | IP: 10.0.0.5 | EVENT: App crashed due to memory leak
2025-04-06 19:39:30 | APPLICATION | USER: guest | IP: 192.168.1.25 | EVENT: User logged in
2025-04-06 19:39:34 | APPLICATION | USER: guest | IP: 10.0.0.5 | EVENT: Data export initiated
2025-04-06 19:39:38 | APPLICATION | USER: admin | IP: 192.168.1.25 | EVENT: User logged out
2025-04-06 19:39:43 | APPLICATION | USER: user1 | IP: 192.168.1.10 | EVENT: New user registered
2025-04-06 19:39:45 | APPLICATION | USER: user2 | IP: 10.0.0.5 | EVENT: Unauthorized API access attempt
2025-04-06 19:39:49 | APPLICATION | USER: user2 | IP: 192.168.1.10 | EVENT: Data export initiated
2025-04-06 19:39:51 | APPLICATION | USER: user1 | IP: 203.0.113.45 | EVENT: New user registered
2025-04-06 19:39:56 | APPLICATION | USER: admin | IP: 10.0.0.5 | EVENT: New user registered
2025-04-06 19:39:59 | APPLICATION | USER: admin | IP: 172.16.0.100 | EVENT: Session timeout
