2025-04-06 19:37:58 | NETWORK | PROCESS | Process 'python' consuming excessive resources
2025-04-06 19:38:02 | NETWORK | PROCESS | Service 'nginx' restarted due to failure
2025-04-06 19:38:04 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-06 19:38:08 | NETWORK | PROCESS | Service 'nginx' restarted due to failure
2025-04-06 19:38:11 | NETWORK | KERNEL | Unauthorized process execution detected
2025-04-06 19:38:13 | NETWORK | CPU | CPU usage exceeded 98%
2025-04-06 19:38:18 | NETWORK | MEMORY | Memory usage crossed 94%
2025-04-06 19:38:21 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-06 19:38:24 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-06 19:38:29 | NETWORK | PROCESS | New process spawned: /usr/bin/unknown
2025-04-06 19:38:31 | NETWORK | DISK | SSD wear level critical - Replace drive soon
2025-04-06 19:38:33 | NETWORK | PROCESS | New process spawned: /usr/bin/unknown
2025-04-06 19:38:36 | NETWORK | MEMORY | Swap memory exhausted
2025-04-06 19:38:40 | NETWORK | KERNEL | Unrecoverable hardware error encountered
2025-04-06 19:38:43 | NETWORK | CPU | CPU temperature exceeded safe limit
2025-04-06 19:38:46 | NETWORK | KERNEL | Unrecoverable hardware error encountered
2025-04-06 19:38:50 | NETWORK | CPU | High CPU usage detected on core 5
2025-04-06 19:38:53 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-06 19:38:57 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-06 19:39:02 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-06 19:39:07 | NETWORK | CPU | CPU usage exceeded 91%
2025-04-06 19:39:11 | NETWORK | CPU | CPU usage exceeded 90%
2025-04-06 19:39:13 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-06 19:39:16 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-06 19:39:21 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-06 19:39:23 | NETWORK | MEMORY | Swap memory exhausted
2025-04-06 19:39:28 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-06 19:39:30 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-06 19:39:34 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-06 19:39:39 | NETWORK | DISK | SSD wear level critical - Replace drive soon
2025-04-06 19:39:44 | NETWORK | PROCESS | Unauthorized process execution detected
2025-04-06 19:39:47 | NETWORK | PROCESS | Process 'python' consuming excessive resources
2025-04-06 19:39:52 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-06 19:39:55 | NETWORK | MEMORY | Swap memory exhausted
2025-04-06 19:40:00 | NETWORK | CPU | High CPU usage detected on core 7
2025-04-06 19:40:02 | NETWORK | CPU | CPU temperature exceeded safe limit
2025-04-06 19:40:04 | NETWORK | DISK | SSD wear level critical - Replace drive soon
2025-04-06 19:40:08 | NETWORK | DISK | SSD wear level critical - Replace drive soon
2025-04-06 19:40:10 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-06 19:40:13 | NETWORK | DISK | Disk read error on /dev/sda
2025-04-06 19:40:17 | NETWORK | MEMORY | Memory usage crossed 93%
2025-04-06 19:40:19 | NETWORK | KERNEL | Unrecoverable hardware error encountered
2025-04-06 19:40:22 | NETWORK | PROCESS | Unauthorized process execution detected
2025-04-06 19:40:25 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-06 19:40:30 | NETWORK | CPU | CPU usage exceeded 98%
2025-04-06 19:40:34 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-06 19:40:39 | NETWORK | CPU | High CPU usage detected on core 1
2025-04-06 19:40:44 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-06 19:40:46 | NETWORK | PROCESS | Process 'python' consuming excessive resources
2025-04-06 19:40:51 | NETWORK | PROCESS | Unauthorized process execution detected
2025-04-06 19:40:55 | NETWORK | KERNEL | Unauthorized process execution detected
2025-04-06 19:40:58 | NETWORK | MEMORY | Swap memory exhausted
2025-04-06 19:41:02 | NETWORK | KERNEL | Unrecoverable hardware error encountered
2025-04-06 19:41:07 | NETWORK | CPU | CPU usage exceeded 96%
2025-04-06 19:41:10 | NETWORK | CPU | CPU usage exceeded 100%
2025-04-06 19:41:13 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-06 19:41:17 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-06 19:41:20 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-07 03:08:39 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-07 03:08:42 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-07 03:08:44 | NETWORK | KERNEL | Unauthorized process execution detected
2025-04-07 03:08:48 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-07 03:08:53 | NETWORK | KERNEL | Unauthorized process execution detected
2025-04-07 03:08:55 | NETWORK | PROCESS | Unauthorized process execution detected
2025-04-07 03:09:00 | NETWORK | DISK | Filesystem corruption detected on /dev/sdb
2025-04-07 03:09:05 | NETWORK | CPU | High CPU usage detected on core 7
2025-04-07 03:09:09 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-07 03:09:11 | NETWORK | PROCESS | New process spawned: /usr/bin/unknown
2025-04-07 03:09:13 | NETWORK | CPU | High CPU usage detected on core 3
2025-04-07 03:09:18 | NETWORK | CPU | High CPU usage detected on core 0
2025-04-07 03:09:20 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-07 03:09:22 | NETWORK | MEMORY | Memory usage crossed 96%
2025-04-07 03:09:24 | NETWORK | MEMORY | Memory usage crossed 97%
2025-04-07 03:09:26 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-07 03:09:31 | NETWORK | KERNEL | Unrecoverable hardware error encountered
2025-04-07 03:09:33 | NETWORK | CPU | CPU temperature exceeded safe limit
2025-04-07 03:09:35 | NETWORK | CPU | High CPU usage detected on core 1
2025-04-07 03:09:37 | NETWORK | CPU | High CPU usage detected on core 0
2025-04-07 03:09:42 | NETWORK | MEMORY | Memory usage crossed 98%
2025-04-07 03:09:46 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-07 03:09:48 | NETWORK | CPU | CPU usage exceeded 94%
2025-04-07 03:09:52 | NETWORK | MEMORY | Process killed due to out-of-memory condition
2025-04-07 03:09:55 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-07 03:09:59 | NETWORK | DISK | Disk read error on /dev/sda
2025-04-07 03:10:04 | NETWORK | CPU | CPU temperature exceeded safe limit
2025-04-07 03:10:07 | NETWORK | KERNEL | Kernel panic detected - System halted
2025-04-07 03:10:11 | NETWORK | CPU | High CPU usage detected on core 4
2025-04-07 03:10:15 | NETWORK | MEMORY | Swap memory exhausted
2025-04-07 03:10:18 | NETWORK | KERNEL | System reboot initiated due to critical failure
2025-04-07 03:10:23 | NETWORK | PROCESS | Process 'python' consuming excessive resources
2025-04-07 03:10:28 | NETWORK | PROCESS | Service 'nginx' restarted due to failure
2025-04-07 03:10:32 | NETWORK | DISK | Unexpected disk disconnection detected
2025-04-07 03:10:34 | NETWORK | CPU | CPU temperature exceeded safe limit
2025-04-07 22:35:57 | NETWORK | PROCESS | New process spawned: /usr/bin/unknown
2025-04-07 22:36:02 | NETWORK | MEMORY | Memory usage crossed 95%
