2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 
2025-04-06 19:38:09 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Malware Execution 
2025-04-06 19:38:14 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Suspicious Network Activity 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 
2025-04-06 19:38:09 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Malware Execution 
2025-04-06 19:38:14 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Suspicious Network Activity 
2025-04-06 19:38:19 | AUTHENTICATION | User: admin | IP: 45.33.29.100 | Method: Cross-Site Scripting (XSS) 
2025-04-06 19:38:22 | AUTHENTICATION | User: support | IP: 45.33.29.100 | Method: DDoS Attack 
2025-04-06 19:38:25 | AUTHENTICATION | User: admin | IP: 8.8.4.4 | Method: Phishing Attempt 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 
2025-04-06 19:38:09 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Malware Execution 
2025-04-06 19:38:14 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Suspicious Network Activity 
2025-04-06 19:38:19 | AUTHENTICATION | User: admin | IP: 45.33.29.100 | Method: Cross-Site Scripting (XSS) 
2025-04-06 19:38:22 | AUTHENTICATION | User: support | IP: 45.33.29.100 | Method: DDoS Attack 
2025-04-06 19:38:25 | AUTHENTICATION | User: admin | IP: 8.8.4.4 | Method: Phishing Attempt 
2025-04-06 19:38:30 | AUTHENTICATION | User: admin | IP: 10.0.0.3 | Method: Suspicious Network Activity 
2025-04-06 19:38:34 | AUTHENTICATION | User: devops | IP: 8.8.4.4 | Method: MFA Bypassed 
2025-04-06 19:38:36 | AUTHENTICATION | User: guest | IP: 185.199.108.153 | Method: Data Exfiltration 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 
2025-04-06 19:38:09 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Malware Execution 
2025-04-06 19:38:14 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Suspicious Network Activity 
2025-04-06 19:38:19 | AUTHENTICATION | User: admin | IP: 45.33.29.100 | Method: Cross-Site Scripting (XSS) 
2025-04-06 19:38:22 | AUTHENTICATION | User: support | IP: 45.33.29.100 | Method: DDoS Attack 
2025-04-06 19:38:25 | AUTHENTICATION | User: admin | IP: 8.8.4.4 | Method: Phishing Attempt 
2025-04-06 19:38:30 | AUTHENTICATION | User: admin | IP: 10.0.0.3 | Method: Suspicious Network Activity 
2025-04-06 19:38:34 | AUTHENTICATION | User: devops | IP: 8.8.4.4 | Method: MFA Bypassed 
2025-04-06 19:38:36 | AUTHENTICATION | User: guest | IP: 185.199.108.153 | Method: Data Exfiltration 
2025-04-06 19:38:41 | AUTHENTICATION | User: support | IP: 45.33.29.100 | Method: Privilege Escalation 
2025-04-06 19:38:44 | AUTHENTICATION | User: user1 | IP: 45.33.29.100 | Method: Suspicious File Upload 
2025-04-06 19:38:46 | AUTHENTICATION | User: admin | IP: 8.8.4.4 | Method: DDoS Attack 
2025-04-06 19:38:48 | AUTHENTICATION | User: support | IP: 45.33.29.100 | Method: Brute Force Attack 

2025-04-06 19:37:57 | AUTHENTICATION | User: admin | IP: 185.199.108.153 | Method: Compromised IoT Device 
2025-04-06 19:38:00 | AUTHENTICATION | User: root | IP: 8.8.4.4 | Method: Suspicious File Upload 
2025-04-06 19:38:04 | AUTHENTICATION | User: guest | IP: 10.0.0.3 | Method: Unpatched Vulnerability 
2025-04-06 19:38:07 | AUTHENTICATION | User: devops | IP: 185.199.108.153 | Method: Ransomware Detected 
2025-04-06 19:38:09 | AUTHENTICATION | User: support | IP: 8.8.4.4 | Method: Malware Execution 
